romanji,hiragana,katakana,hiragana_draworder_animated,hiragana_draworder_still,katakana_draworder_animated,katakana_draworder_still
a,あ,ア,https://upload.wikimedia.org/wikipedia/commons/d/d8/Hiragana_%E3%81%82_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/2/21/%E3%81%82-bw.png,https://upload.wikimedia.org/wikipedia/commons/c/c8/Katakana_%E3%82%A2_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/b/b7/%E3%82%A2-bw.png
i,い,イ,https://upload.wikimedia.org/wikipedia/commons/c/cf/Hiragana_%E3%81%84_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/7/7b/%E3%81%84-bw.png,https://upload.wikimedia.org/wikipedia/commons/9/94/Katakana_%E3%82%A4_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/e/ea/%E3%82%A4-bw.png
u,う,ウ,https://upload.wikimedia.org/wikipedia/commons/7/7f/Hiragana_%E3%81%86_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/0/06/%E3%81%86-bw.png,https://upload.wikimedia.org/wikipedia/commons/6/6e/Katakana_%E3%82%A6_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/9/9d/%E3%82%A6-bw.png
e,え,エ,https://upload.wikimedia.org/wikipedia/commons/4/4f/Hiragana_%E3%81%88_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/e/e3/%E3%81%88-bw.png,https://upload.wikimedia.org/wikipedia/commons/9/99/Katakana_%E3%82%A8_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/c/ca/%E3%82%A8-bw.png
o,お,オ,https://upload.wikimedia.org/wikipedia/commons/7/7b/Hiragana_%E3%81%8A_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/1/11/%E3%81%8A-bw.png,https://upload.wikimedia.org/wikipedia/commons/d/de/Katakana_%E3%82%AA_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/e/e7/%E3%82%AA-bw.png
ka,か,カ,https://upload.wikimedia.org/wikipedia/commons/9/97/Hiragana_%E3%81%8B_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/b/be/%E3%81%8B-bw.png,https://upload.wikimedia.org/wikipedia/commons/5/5e/Katakana_%E3%82%AB_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/0/07/%E3%82%AB-bw.png
ki,き,キ,https://upload.wikimedia.org/wikipedia/commons/1/18/Hiragana_%E3%81%8D_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/3/39/%E3%81%8D-bw.png,https://upload.wikimedia.org/wikipedia/commons/8/81/Katakana_%E3%82%AD_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/c/cf/%E3%82%AD-bw.png
ku,く,ク,https://upload.wikimedia.org/wikipedia/commons/6/68/Hiragana_%E3%81%8F_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/d/d5/%E3%81%8F-bw.png,https://upload.wikimedia.org/wikipedia/commons/2/2a/Katakana_%E3%82%AF_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/1/19/%E3%82%AF-bw.png
ke,け,ケ,https://upload.wikimedia.org/wikipedia/commons/5/57/Hiragana_%E3%81%91_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/b/b9/%E3%81%91-bw.png,https://upload.wikimedia.org/wikipedia/commons/9/98/Katakana_%E3%82%B1_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/a/a2/%E3%82%B1-bw.png
ko,こ,コ,https://upload.wikimedia.org/wikipedia/commons/8/83/Hiragana_%E3%81%93_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/3/34/%E3%81%93-bw.png,https://upload.wikimedia.org/wikipedia/commons/e/ea/Katakana_%E3%82%B3_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/0/0d/%E3%82%B3-bw.png
sa,さ,サ,https://upload.wikimedia.org/wikipedia/commons/7/79/Hiragana_%E3%81%95_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/b/b5/%E3%81%95-bw.png,https://upload.wikimedia.org/wikipedia/commons/b/bf/Katakana_%E3%82%B5_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/8/8f/%E3%82%B5-bw.png
shi,し,シ,https://upload.wikimedia.org/wikipedia/commons/a/a4/Hiragana_%E3%81%97_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/4/4e/%E3%81%97-bw.png,https://upload.wikimedia.org/wikipedia/commons/3/36/Katakana_%E3%82%B7_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/3/3b/%E3%82%B7-bw.png
su,す,ス,https://upload.wikimedia.org/wikipedia/commons/0/05/Hiragana_%E3%81%99_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/4/4e/%E3%81%99-bw.png,https://upload.wikimedia.org/wikipedia/commons/8/8b/Katakana_%E3%82%B9_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/4/4f/%E3%82%B9-bw.png
se,せ,セ,https://upload.wikimedia.org/wikipedia/commons/7/7a/Hiragana_%E3%81%9B_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/8/88/%E3%81%9B-bw.png,https://upload.wikimedia.org/wikipedia/commons/8/80/Katakana_%E3%82%BB_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/8/84/%E3%82%BB-bw.png
so,そ,ソ,https://upload.wikimedia.org/wikipedia/commons/5/5b/Hiragana_%E3%81%9D_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/e/e6/%E3%81%9D-bw.png,https://upload.wikimedia.org/wikipedia/commons/6/63/Katakana_%E3%82%BD_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/d/da/%E3%82%BD-bw.png
ta,た,タ,https://upload.wikimedia.org/wikipedia/commons/9/9a/Hiragana_%E3%81%9F_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/0/05/%E3%81%9F-bw.png,https://upload.wikimedia.org/wikipedia/commons/e/e6/Katakana_%E3%82%BF_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/c/ca/%E3%82%BF-bw.png
chi,ち,チ,https://upload.wikimedia.org/wikipedia/commons/3/32/Hiragana_%E3%81%A1_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/b/bf/%E3%81%A1-bw.png,https://upload.wikimedia.org/wikipedia/commons/f/f4/Katakana_%E3%83%81_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/a/a4/%E3%83%81-bw.png
tsu,つ,ツ,https://upload.wikimedia.org/wikipedia/commons/0/08/Hiragana_%E3%81%A4_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/5/57/%E3%81%A4-bw.png,https://upload.wikimedia.org/wikipedia/commons/7/73/Katakana_%E3%83%84_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/7/7e/%E3%83%84-bw.png
te,て,テ,https://upload.wikimedia.org/wikipedia/commons/1/15/Hiragana_%E3%81%A6_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/a/a4/%E3%81%A6-bw.png,https://upload.wikimedia.org/wikipedia/commons/9/90/Katakana_%E3%83%86_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/b/b5/%E3%83%86-bw.png
to,と,ト,https://upload.wikimedia.org/wikipedia/commons/6/6e/Hiragana_%E3%81%A8_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/5/59/%E3%81%A8-bw.png,https://upload.wikimedia.org/wikipedia/commons/5/52/Katakana_%E3%83%88_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/3/31/%E3%83%88-bw.png
na,な,ナ,https://upload.wikimedia.org/wikipedia/commons/8/83/Hiragana_%E3%81%AA_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/a/a3/%E3%81%AA-bw.png,https://upload.wikimedia.org/wikipedia/commons/8/87/Katakana_%E3%83%8A_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/6/6d/%E3%83%8A-bw.png
ni,に,ニ,https://upload.wikimedia.org/wikipedia/commons/2/27/Hiragana_%E3%81%AB_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/3/36/%E3%81%AB-bw.png,https://upload.wikimedia.org/wikipedia/commons/2/29/Katakana_%E3%83%8B_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/d/dd/%E3%83%8B-bw.png
nu,ぬ,ヌ,https://upload.wikimedia.org/wikipedia/commons/5/5a/Hiragana_%E3%81%AC_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/c/cc/%E3%81%AC-bw.png,https://upload.wikimedia.org/wikipedia/commons/1/12/Katakana_%E3%83%8C_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/9/94/%E3%83%8C-bw.png
ne,ね,ネ,https://upload.wikimedia.org/wikipedia/commons/0/0a/Hiragana_%E3%81%AD_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/9/9c/%E3%81%AD-bw.png,https://upload.wikimedia.org/wikipedia/commons/1/14/Katakana_%E3%83%8D_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/3/35/%E3%83%8D-bw.png
no,の,ノ,https://upload.wikimedia.org/wikipedia/commons/0/05/Hiragana_%E3%81%AE_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/9/90/%E3%81%AE-bw.png,https://upload.wikimedia.org/wikipedia/commons/6/64/Katakana_%E3%83%8E_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/a/ad/%E3%83%8E-bw.png
ha,は,ハ,https://upload.wikimedia.org/wikipedia/commons/4/43/Hiragana_%E3%81%AF_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/f/fa/%E3%81%AF-bw.png,https://en.wikipedia.org/wiki/File:Katakana_%E3%83%8F_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/5/5e/%E3%83%8F-bw.png
hi,ひ,ヒ,https://upload.wikimedia.org/wikipedia/commons/4/40/Hiragana_%E3%81%B2_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/c/c5/%E3%81%B2-bw.png,https://upload.wikimedia.org/wikipedia/commons/7/7a/Katakana_%E3%83%92_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/b/bd/%E3%83%92-bw.png
fu,ふ,フ,https://upload.wikimedia.org/wikipedia/commons/1/1f/Hiragana_%E3%81%B5_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/e/e5/%E3%81%B5-bw.png,https://upload.wikimedia.org/wikipedia/commons/0/0a/Katakana_%E3%83%95_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/9/94/%E3%83%95-bw.png
he,へ,ヘ,https://upload.wikimedia.org/wikipedia/commons/4/40/Hiragana_%E3%81%B8_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/c/c1/%E3%81%B8-bw.png,https://upload.wikimedia.org/wikipedia/commons/7/70/Katakana_%E3%83%98_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/6/66/%E3%83%98-bw.png
ho,ほ,ホ,https://upload.wikimedia.org/wikipedia/commons/9/96/Hiragana_%E3%81%BB_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/4/4c/%E3%81%BB-bw.png,https://upload.wikimedia.org/wikipedia/commons/9/95/Katakana_%E3%83%9B_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/2/25/%E3%83%9B-bw.png
ma,ま,マ,https://upload.wikimedia.org/wikipedia/commons/6/65/Hiragana_%E3%81%BE_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/b/bf/%E3%81%BE-bw.png,https://upload.wikimedia.org/wikipedia/commons/8/87/Katakana_%E3%83%9E_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/3/3d/%E3%83%9E-bw.png
mi,み,ミ,https://upload.wikimedia.org/wikipedia/commons/d/d7/Hiragana_%E3%81%BF_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/7/7f/%E3%81%BF-bw.png,https://upload.wikimedia.org/wikipedia/commons/2/28/Katakana_%E3%83%9F_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/7/77/%E3%83%9F-bw.png
mu,む,ム,https://upload.wikimedia.org/wikipedia/commons/1/1f/Hiragana_%E3%82%80_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/4/49/%E3%82%80-bw.png,https://upload.wikimedia.org/wikipedia/commons/4/40/Katakana_%E3%83%A0_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/1/1b/%E3%83%A0-bw.png
me,め,メ,https://upload.wikimedia.org/wikipedia/commons/5/58/Hiragana_%E3%82%81_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/d/db/%E3%82%81-bw.png,https://upload.wikimedia.org/wikipedia/commons/0/00/Katakana_%E3%83%A1_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/a/a1/%E3%83%A1-bw.png
mo,も,モ,https://upload.wikimedia.org/wikipedia/commons/c/c1/Hiragana_%E3%82%82_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/6/66/%E3%82%82-bw.png,https://upload.wikimedia.org/wikipedia/commons/e/ef/Katakana_%E3%83%A2_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/5/52/%E3%83%A2-bw.png
ya,や,ヤ,https://upload.wikimedia.org/wikipedia/commons/0/07/Hiragana_%E3%82%84_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/f/fb/%E3%82%84-bw.png,https://upload.wikimedia.org/wikipedia/commons/b/b9/Katakana_%E3%83%A4_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/9/98/%E3%83%A4-bw.png
yu,ゆ,ユ,https://upload.wikimedia.org/wikipedia/commons/7/78/Hiragana_%E3%82%86_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/9/92/%E3%82%86-bw.png,https://upload.wikimedia.org/wikipedia/commons/f/f9/Katakana_%E3%83%A6_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/b/b6/%E3%83%A6-bw.png
yo,よ,ヨ,https://upload.wikimedia.org/wikipedia/commons/8/80/Hiragana_%E3%82%88_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/7/7e/%E3%82%88-bw.png,https://upload.wikimedia.org/wikipedia/commons/7/76/Katakana_%E3%83%A8_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/9/96/%E3%83%A8-bw.png
ra,ら,ラ,https://upload.wikimedia.org/wikipedia/commons/6/6c/Hiragana_%E3%82%89_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/6/6d/%E3%82%89-bw.png,https://upload.wikimedia.org/wikipedia/commons/c/ca/Katakana_%E3%83%A9_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/e/e7/%E3%83%A9-bw.png
ri,り,リ,https://upload.wikimedia.org/wikipedia/commons/9/9f/Hiragana_%E3%82%8A_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/d/d1/%E3%82%8A-bw.png,https://upload.wikimedia.org/wikipedia/commons/a/ad/Katakana_%E3%83%AA_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/3/3d/%E3%83%AA-bw.png
ru,る,ル,https://upload.wikimedia.org/wikipedia/commons/2/26/Hiragana_%E3%82%8B_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/7/73/%E3%82%8B-bw.png,https://upload.wikimedia.org/wikipedia/commons/1/1d/Katakana_%E3%83%AB_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/e/e1/%E3%83%AB-bw.png
re,れ,レ,https://upload.wikimedia.org/wikipedia/commons/6/6c/Hiragana_%E3%82%8C_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/0/0a/%E3%82%8C-bw.png,https://upload.wikimedia.org/wikipedia/commons/8/8e/Katakana_%E3%83%AC_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/f/f1/%E3%83%AC-bw.png
ro,ろ,ロ,https://upload.wikimedia.org/wikipedia/commons/3/35/Hiragana_%E3%82%8D_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/9/9c/%E3%82%8D-bw.png,https://upload.wikimedia.org/wikipedia/commons/6/62/Katakana_%E3%83%AD_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/0/08/%E3%83%AD-bw.png
wa,わ,ワ,https://upload.wikimedia.org/wikipedia/commons/6/6a/Hiragana_%E3%82%8F_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/6/66/%E3%82%8F-bw.png,https://upload.wikimedia.org/wikipedia/commons/c/c8/Katakana_%E3%83%AF_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/c/c3/%E3%83%AF-bw.png
wo,を,ヲ,https://upload.wikimedia.org/wikipedia/commons/6/64/Hiragana_%E3%82%92_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/6/69/%E3%82%92-bw.png,https://upload.wikimedia.org/wikipedia/commons/3/35/Katakana_%E3%83%B2_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/2/2b/%E3%83%B2-bw.png
n,ん,ン,https://upload.wikimedia.org/wikipedia/commons/f/f6/Hiragana_%E3%82%93_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/0/0e/%E3%82%93-bw.png,https://upload.wikimedia.org/wikipedia/commons/9/9f/Katakana_%E3%83%B3_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/4/46/%E3%83%B3-bw.png